bench, time
statsite-master , 13.955
stb-master , 7.873
stderred-master , 0.483
streem-master , 4.579
stud-master , 0.906
sudo-touchid-master , 19.442
suhosin-master , 2.485
sundown-master , 1.107
Superuser-master , 19.791
swatd-master , 0.158
swift-corelibs-libdispatch-master , 11.15
sxhkd-master , 0.791
sxiv-master , 1.455
synsanity-master , 0.416
sysbench-master , 20.363
sysstat-master , 8.561
system-bus-radio-master , 0.033
tcpburn-master , 3.067
tcpcopy-master , 3.935
tcpkali-master , 6.554
termbox-master , 0.842
tg-master , 2.808
thc-hydra-master , 9.364
TheFatRat-master , 15.273
the_silver_searcher-master , 1.508
ThinkPwn-master , 0.169
thinscript-master , 2.588
thor-master , 6.077
tidy-html5-master , 10.402
tig-master , 11.113
tilda-master , 1.816
tini-master , 0.201
tiny-AES128-C-master , 0.204
tinyhttpd-master , 0.17
Tinyhttpd-master , 0.175
tinyproxy-master , 2.839
tinyrb-master , 16.795
tinyvm-master , 0.937
tmux-MacOSX-pasteboard-master , 0.331
toggle-osx-shadows-master , 0.053
torch7-master , 5.419
TouchXML-master , 9.711
TPCircularBuffer-master , 0.244
traildb-master , 6.379
transform360-master , 0.404
treesheets-master , 0.351
trinity-master , 27.889
tsar-master , 2.762
twemcache-master , 3.46
twemproxy-master , 4.505
u2f-zero-master , 2.542
UACME-master , 3.066
u-boot_mod-master , 13.279
udis86-master , 0.791
UEFITool-master , 3.394
ultrajson-master , 1.146
ultramysql-master , 0.576
unicorn-master , 108.338
Uninstall_Statics-master , 0.1
unispim-master , 4.034
Unity-master , 8.295
upb-master , 9.349
ureq-master , 0.637
uthash-master , 8.61
uvbook-master , 55.049
vanitygen-master , 1.672
vimb-master , 3.231
virgo-master , 0.142
vis-master , 7.449
vmtouch-master , 0.302
v-usb-master , 1.35
WAFer-master , 0.448
watch-master , 0.216
wax-master , 0.033
WaxPatch-master , 0.039
wcc-master , 3.775
WebBench-master , 0.186
webdis-master , 6.197
webgl-noise-master , 2.799
whitedb-master , 10.036
wifidog-gateway-master , 3.081
winfsp-master , 13.566
WiringPi-master , 9.451
word2vec-master , 3.375
wren-master , 6.033
write-a-C-interpreter-master , 0.491
wrk2-master , 35.508
wrk-master , 2.168
xcape-master , 0.133
xdotool-master , 2.895
xxHash-master , 0.651
yabar-master , 0.674
yac-master , 0.574
yaconf-master , 0.129
yaf-master , 5.026
yajl-master , 1.586
yajl-objc-master , 1.29
yajl-ruby-master , 1.234
yank-master , 0.139
yar-master , 1.2
yasea-master , 24.972
yocto-gl-master , 7.047
zabbix-docker-monitoring-master , 0.352
ZBar-master , 11.392
ZendOptimizerPlus-master , 2.017
zindex-master , 26.402
ZipArchive-master , 3.624
zlib-master , 4.525
zlog-master , 3.724
zmap-master , 7.006
zstd-master , 26.049
zyre-master , 2.194
